12772 0.01
6.79831e-3 8.16914e-3 204.439e-3
6.11263e-3 25.7879e-3 28.7497e-3
0.083602e-3 26.4344e-3 26.4514e-3
12.194e-3 27.3909e-3 24.4867e-3
8.06998e-3 26.9384e-3 25.4057e-3
11.5872e-3 8.19899e-3 204.244e-3
15.5428e-3 25.8804e-3 28.3039e-3
14.6559e-3 8.51352e-3 209.337e-3
21.1287e-3 25.5197e-3 28.2786e-3
18.2749e-3 26.8284e-3 24.3368e-3
4.07573e-3 26.7252e-3 23.8977e-3
-1.90519e-3 26.1301e-3 22.8691e-3
23.7485e-3 26.3379e-3 24.0345e-3
11.2635e-3 24.6862e-3 27.6813e-3
17.992e-3 24.0059e-3 31.7074e-3
38.1759e-3 23.0515e-3 22.036e-3
16.6527e-3 7.79464e-3 205.65e-3
13.0028e-3 7.28127e-3 200.006e-3
6.17846e-3 24.0765e-3 32.655e-3
2.13718e-3 25.0751e-3 30.2793e-3
13.8804e-3 24.137e-3 32.0116e-3
22.5238e-3 23.4886e-3 31.709e-3
17.6835e-3 22.1186e-3 35.4775e-3
27.3887e-3 20.4798e-3 38.5741e-3
28.8787e-3 25.4821e-3 23.6366e-3
29.2914e-3 24.8469e-3 27.6021e-3
39.4054e-3 -106.297e-3 22.2432e-3
0.196581e-3 23.4946e-3 33.631e-3
-1.86221e-3 24.9875e-3 29.8559e-3
-13.8411e-3 24.3064e-3 24.1246e-3
-9.85041e-3 24.5983e-3 27.9808e-3
-5.88959e-3 25.655e-3 22.9778e-3
-5.87321e-3 25.2052e-3 28.1624e-3
1.7492e-3 7.77305e-3 204.642e-3
2.14358e-3 8.47755e-3 208.895e-3
10.3875e-3 8.76162e-3 209.394e-3
4.77312e-3 7.18062e-3 200.43e-3
-9.86642e-3 25.0409e-3 22.4079e-3
-7.87576e-3 25.3197e-3 22.0223e-3
29.1957e-3 22.967e-3 31.2244e-3
23.4959e-3 21.6161e-3 35.1618e-3
-0.797335e-3 21.3898e-3 38.1838e-3
-3.75892e-3 22.2673e-3 35.626e-3
-5.81066e-3 23.5786e-3 31.9866e-3
7.06994e-3 -111.865e-3 22.1955e-3
41.4487e-3 21.7362e-3 22.014e-3
18.9967e-3 18.6212e-3 42.1229e-3
-6.71746e-3 -110.351e-3 22.1684e-3
-7.05505e-3 19.7382e-3 39.7836e-3
4.37552e-3 22.5845e-3 36.0021e-3
14.4336e-3 6.16319e-3 195.944e-3
18.548e-3 5.72874e-3 195.73e-3
10.5385e-3 22.3766e-3 35.9954e-3
13.6889e-3 20.211e-3 40.0585e-3
-11.8509e-3 24.6089e-3 21.9296e-3
-9.78219e-3 22.8241e-3 32.1317e-3
-7.73338e-3 21.5886e-3 35.7056e-3
17.4189e-3 8.53277e-3 212.723e-3
18.4936e-3 6.86469e-3 202.18e-3
24.7311e-3 6.36316e-3 203.696e-3
39.597e-3 22.8908e-3 24.8111e-3
32.9044e-3 22.9881e-3 29.713e-3
29.0384e-3 20.9414e-3 34.8042e-3
31.2286e-3 18.166e-3 38.7946e-3
34.0687e-3 20.1511e-3 34.1619e-3
-2.90022e-3 -111.09e-3 22.1471e-3
-4.87674e-3 -110.729e-3 22.1522e-3
-12.752e-3 -108.922e-3 22.1447e-3
-24.4146e-3 -104.46e-3 22.1204e-3
-30.983e-3 -100.697e-3 22.2451e-3
-36.8233e-3 -96.6611e-3 22.2153e-3
-35.3854e-3 -97.7053e-3 22.2841e-3
-39.6223e-3 -94.5365e-3 22.2749e-3
-19.8172e-3 16.1716e-3 39.5736e-3
-15.5682e-3 17.4836e-3 39.8808e-3
-11.6825e-3 20.2031e-3 36.6007e-3
-2.64496e-3 6.71717e-3 202.758e-3
-5.82694e-3 4.99966e-3 198.665e-3
-11.671e-3 18.2602e-3 40.6889e-3
-16.639e-3 19.3402e-3 35.6406e-3
-20.665e-3 14.0767e-3 42.8853e-3
-43.6983e-3 -91.1626e-3 22.2493e-3
6.25491e-3 20.8674e-3 39.6136e-3
-14.7085e-3 -108.336e-3 22.1867e-3
-51.3984e-3 -83.7978e-3 22.1391e-3
7.78311e-3 19.0951e-3 43.2174e-3
-10.0936e-3 -109.76e-3 22.1714e-3
1.07466e-3 -111.569e-3 22.1958e-3
-1.63975e-3 19.2076e-3 42.5098e-3
-0.782411e-3 5.60304e-3 196.95e-3
-13.7321e-3 21.4609e-3 33.001e-3
-2.98187e-3 7.68664e-3 209.01e-3
-13.8035e-3 23.3145e-3 28.9782e-3
-14.3565e-3 24.1425e-3 22.2758e-3
22.3107e-3 7.28794e-3 209.067e-3
24.6211e-3 7.44617e-3 215.893e-3
24.5562e-3 5.5495e-3 199.482e-3
41.4686e-3 21.0738e-3 28.8408e-3
37.4765e-3 21.8908e-3 29.5339e-3
26.8852e-3 6.41966e-3 210.924e-3
28.6573e-3 6.3608e-3 215.225e-3
31.3737e-3 5.11327e-3 211.392e-3
22.7663e-3 19.7642e-3 38.8108e-3
42.6563e-3 11.0139e-3 43.3324e-3
33.9491e-3 15.8022e-3 41.4965e-3
26.6603e-3 17.6003e-3 41.5344e-3
60.3457e-3 -93.8313e-3 22.1802e-3
46.2262e-3 10.6097e-3 41.1323e-3
42.7305e-3 -104.942e-3 22.2342e-3
12.6697e-3 18.12e-3 44.5317e-3
23.0309e-3 16.0232e-3 46.0432e-3
-15.3193e-3 15.5884e-3 43.6692e-3
2.34852e-3 19.584e-3 42.2749e-3
54.8514e-3 2.78123e-3 43.3608e-3
38.7832e-3 15.1699e-3 39.7503e-3
37.1853e-3 13.5842e-3 43.2119e-3
30.1395e-3 15.8314e-3 43.3398e-3
-15.8198e-3 23.7369e-3 21.9695e-3
-17.8e-3 23.1897e-3 21.9819e-3
-22.1275e-3 21.7672e-3 21.9818e-3
-47.6113e-3 -87.5711e-3 22.224e-3
-25.7062e-3 20.6344e-3 21.9292e-3
-32.6634e-3 17.7024e-3 21.9016e-3
-58.8706e-3 -75.9512e-3 22.0476e-3
-29.4684e-3 19.0643e-3 21.9426e-3
-46.8214e-3 -88.3532e-3 22.2311e-3
-26.6028e-3 14.1671e-3 38.0461e-3
-21.5883e-3 17.6063e-3 35.699e-3
-13.5574e-3 2.45007e-3 197.901e-3
-17.7869e-3 22.8208e-3 27.6884e-3
-9.52366e-3 5.65248e-3 206.369e-3
-17.8063e-3 23.3445e-3 23.2437e-3
-18.2697e-3 20.9486e-3 31.5243e-3
-19.7805e-3 22.6537e-3 21.9843e-3
-11.569e-3 4.40432e-3 203.143e-3
-21.7503e-3 21.8118e-3 27.2377e-3
-21.7642e-3 22.1919e-3 22.9176e-3
-20.2332e-3 1.73124e-3 210.349e-3
-23.7325e-3 21.3462e-3 21.9828e-3
39.5779e-3 22.6895e-3 22.0567e-3
40.4549e-3 18.9391e-3 33.009e-3
38.1237e-3 17.7393e-3 36.1392e-3
44.6545e-3 21.284e-3 23.1944e-3
33.0948e-3 1.97844e-3 195.149e-3
47.1209e-3 20.2288e-3 26.4205e-3
43.3309e-3 21.1589e-3 22.0475e-3
45.2213e-3 21.011e-3 22.1123e-3
-23.6457e-3 19.0647e-3 31.5361e-3
9.1242e-3 6.3139e-3 196.281e-3
0.431343e-3 17.3967e-3 46.6981e-3
4.41296e-3 17.9473e-3 45.881e-3
9.31218e-3 17.3174e-3 46.8195e-3
-5.58102e-3 17.6142e-3 44.6594e-3
-25.7136e-3 20.8181e-3 23.3683e-3
-25.6972e-3 20.3727e-3 27.3464e-3
36.3144e-3 2.78529e-3 203.889e-3
28.8058e-3 2.40961e-3 191.907e-3
-28.2867e-3 19.5467e-3 22.0189e-3
-30.145e-3 11.8925e-3 39.0174e-3
-29.1215e-3 15.3015e-3 34.1477e-3
-15.5074e-3 0.781257e-3 194.584e-3
-26.3625e-3 11.8462e-3 42.4956e-3
45.097e-3 16.0729e-3 34.5014e-3
42.8181e-3 13.4718e-3 39.6228e-3
49.6858e-3 7.96371e-3 41.8745e-3
56.31e-3 5.51931e-3 38.8745e-3
65.8503e-3 -89.1988e-3 22.3132e-3
65.7971e-3 -5.70332e-3 41.264e-3
70.8407e-3 -84.6116e-3 22.2905e-3
52.7174e-3 17.5388e-3 22.0493e-3
48.9749e-3 19.5105e-3 22.0783e-3
57.0946e-3 15.381e-3 22.0584e-3
65.2593e-3 -8.79786e-3 44.4241e-3
75.0722e-3 -80.3859e-3 22.2545e-3
49.0803e-3 15.4804e-3 32.6982e-3
47.8233e-3 20.0085e-3 22.1447e-3
58.3293e-3 14.4389e-3 22.1191e-3
48.1232e-3 4.46518e-3 47.7811e-3
3.44644e-3 5.51112e-3 195.154e-3
-10.2545e-3 16.778e-3 44.3227e-3
-8.08956e-3 3.49268e-3 195.262e-3
48.9749e-3 17.9216e-3 29.3012e-3
52.9977e-3 13.5516e-3 32.5031e-3
40.5867e-3 -3.16035e-3 188.365e-3
50.9636e-3 18.6086e-3 22.108e-3
33.9781e-3 -1.58652e-3 184.814e-3
32.0774e-3 3.21074e-3 201.301e-3
28.5036e-3 5.45408e-3 207.118e-3
32.7706e-3 5.04246e-3 215.546e-3
10.1854e-3 5.23576e-3 192.501e-3
-31.2521e-3 18.5339e-3 26.0525e-3
-31.7383e-3 18.1252e-3 22.0993e-3
-28.7928e-3 18.1045e-3 29.5131e-3
-34.0398e-3 9.0574e-3 40.1743e-3
25.1628e-3 4.89907e-3 69.6376e-3
30.3259e-3 8.90764e-3 56.6022e-3
25.7067e-3 10.2332e-3 56.7254e-3
28.355e-3 11.6514e-3 52.2615e-3
21.1896e-3 4.14867e-3 74.5077e-3
20.8543e-3 5.55637e-3 70.7254e-3
32.0743e-3 12.5077e-3 48.3007e-3
27.9955e-3 13.7596e-3 48.33e-3
20.9377e-3 12.739e-3 53.479e-3
15.1969e-3 4.88636e-3 191.861e-3
15.4435e-3 13.3994e-3 53.831e-3
11.233e-3 14.0902e-3 53.3774e-3
15.142e-3 15.8985e-3 48.6816e-3
15.8965e-3 9.2328e-3 63.3131e-3
19.487e-3 10.2987e-3 59.4964e-3
18.8922e-3 14.8024e-3 49.9746e-3
16.5194e-3 7.68096e-3 67.0649e-3
14.8018e-3 10.9119e-3 59.5858e-3
17.772e-3 17.0641e-3 45.6169e-3
20.4724e-3 7.03102e-3 66.9583e-3
20.0255e-3 8.59918e-3 63.2125e-3
23.1345e-3 4.89191e-3 195.52e-3
32.1762e-3 10.4439e-3 52.189e-3
28.2296e-3 1.36007e-3 187.99e-3
21.9003e-3 2.67207e-3 78.1914e-3
29.2453e-3 -0.660992e-3 81.507e-3
25.5603e-3 1.3125e-3 79.1731e-3
28.4741e-3 3.1158e-3 71.2846e-3
27.3394e-3 -2.55272e-3 90.4596e-3
27.9446e-3 3.79355e-3 198.009e-3
24.3867e-3 2.81437e-3 190.913e-3
33.1709e-3 -0.160682e-3 190.119e-3
34.1267e-3 7.47645e-3 56.5915e-3
25.5577e-3 0.052642e-3 82.9721e-3
22.3079e-3 -2.25542e-3 94.7103e-3
24.852e-3 2.78282e-3 75.4579e-3
30.9272e-3 1.06761e-3 74.4215e-3
29.4347e-3 4.32938e-3 67.366e-3
21.8291e-3 1.37793e-3 82.0823e-3
21.4258e-3 2.32186e-3 187.37e-3
36.727e-3 7.7919e-3 53.3891e-3
16.4231e-3 4.83791e-3 74.6139e-3
16.7526e-3 6.13251e-3 70.8129e-3
24.3006e-3 8.74917e-3 60.5508e-3
48.4172e-3 -2.11117e-3 56.915e-3
20.1501e-3 3.77797e-3 191.184e-3
10.7959e-3 9.67188e-3 63.3568e-3
8.11505e-3 15.6091e-3 50.5237e-3
28.3699e-3 7.79574e-3 60.1556e-3
-17.0473e-3 2.74135e-3 205.895e-3
-18.9747e-3 0.833848e-3 200.841e-3
