441   2.9000000e-01
  -1.0000000e+00  -1.0000000e+00  -2.5000000e-02
  -1.0000000e+00  -9.0000000e-01   7.0049270e-02
  -1.0000000e+00  -8.0000000e-01   1.5708155e-01
  -1.0000000e+00  -7.0000000e-01   2.3883213e-01
  -1.0000000e+00  -6.0000000e-01   3.1323011e-01
  -1.0000000e+00  -5.0000000e-01   3.5456653e-01
  -1.0000000e+00  -4.0000000e-01   3.9961488e-01
  -1.0000000e+00  -3.0000000e-01   4.5436086e-01
  -1.0000000e+00  -2.0000000e-01   4.8133751e-01
  -1.0000000e+00  -1.0000000e-01   4.9272167e-01
  -1.0000000e+00   0.0000000e+00   4.8665892e-01
  -1.0000000e+00   1.0000000e-01   5.1156459e-01
  -1.0000000e+00   2.0000000e-01   5.0158657e-01
  -1.0000000e+00   3.0000000e-01   4.5840298e-01
  -1.0000000e+00   4.0000000e-01   4.2280472e-01
  -1.0000000e+00   5.0000000e-01   3.5254160e-01
  -1.0000000e+00   6.0000000e-01   3.3335256e-01
  -1.0000000e+00   7.0000000e-01   2.3094574e-01
  -1.0000000e+00   8.0000000e-01   1.6761799e-01
  -1.0000000e+00   9.0000000e-01   8.4909859e-02
  -1.0000000e+00   1.0000000e+00   1.8799043e-02
  -9.0000000e-01  -1.0000000e+00  -9.3422157e-02
  -9.0000000e-01  -9.0000000e-01   2.1013047e-02
  -9.0000000e-01  -8.0000000e-01   8.5771558e-02
  -9.0000000e-01  -7.0000000e-01   1.7552147e-01
  -9.0000000e-01  -6.0000000e-01   2.0942101e-01
  -9.0000000e-01  -5.0000000e-01   2.9931572e-01
  -9.0000000e-01  -4.0000000e-01   3.2853070e-01
  -9.0000000e-01  -3.0000000e-01   3.3883873e-01
  -9.0000000e-01  -2.0000000e-01   4.0076369e-01
  -9.0000000e-01  -1.0000000e-01   4.2424455e-01
  -9.0000000e-01   0.0000000e+00   3.8591759e-01
  -9.0000000e-01   1.0000000e-01   4.1969530e-01
  -9.0000000e-01   2.0000000e-01   3.9922418e-01
  -9.0000000e-01   3.0000000e-01   3.4004581e-01
  -9.0000000e-01   4.0000000e-01   3.1266553e-01
  -9.0000000e-01   5.0000000e-01   2.5599208e-01
  -9.0000000e-01   6.0000000e-01   2.1891887e-01
  -9.0000000e-01   7.0000000e-01   1.6894387e-01
  -9.0000000e-01   8.0000000e-01   9.4046152e-02
  -9.0000000e-01   9.0000000e-01   1.2635333e-02
  -9.0000000e-01   1.0000000e+00  -1.1968853e-01
  -8.0000000e-01  -1.0000000e+00  -1.7377966e-01
  -8.0000000e-01  -9.0000000e-01  -1.0367688e-01
  -8.0000000e-01  -8.0000000e-01   5.8774900e-03
  -8.0000000e-01  -7.0000000e-01   8.8546413e-02
  -8.0000000e-01  -6.0000000e-01   1.2432679e-01
  -8.0000000e-01  -5.0000000e-01   1.9483608e-01
  -8.0000000e-01  -4.0000000e-01   2.4047502e-01
  -8.0000000e-01  -3.0000000e-01   2.6579695e-01
  -8.0000000e-01  -2.0000000e-01   3.1008513e-01
  -8.0000000e-01  -1.0000000e-01   3.0836233e-01
  -8.0000000e-01   0.0000000e+00   3.3881562e-01
  -8.0000000e-01   1.0000000e-01   3.0854973e-01
  -8.0000000e-01   2.0000000e-01   3.0126262e-01
  -8.0000000e-01   3.0000000e-01   2.7139173e-01
  -8.0000000e-01   4.0000000e-01   2.4213716e-01
  -8.0000000e-01   5.0000000e-01   2.0339893e-01
  -8.0000000e-01   6.0000000e-01   1.2355709e-01
  -8.0000000e-01   7.0000000e-01   9.1538957e-02
  -8.0000000e-01   8.0000000e-01   1.8095270e-02
  -8.0000000e-01   9.0000000e-01  -7.1538943e-02
  -8.0000000e-01   1.0000000e+00  -2.0237103e-01
  -7.0000000e-01  -1.0000000e+00  -2.3166352e-01
  -7.0000000e-01  -9.0000000e-01  -1.6828580e-01
  -7.0000000e-01  -8.0000000e-01  -9.5895173e-02
  -7.0000000e-01  -7.0000000e-01  -1.1484269e-02
  -7.0000000e-01  -6.0000000e-01   4.3713119e-02
  -7.0000000e-01  -5.0000000e-01   1.2881129e-01
  -7.0000000e-01  -4.0000000e-01   1.8050793e-01
  -7.0000000e-01  -3.0000000e-01   1.9821056e-01
  -7.0000000e-01  -2.0000000e-01   2.2845925e-01
  -7.0000000e-01  -1.0000000e-01   2.4061015e-01
  -7.0000000e-01   0.0000000e+00   2.4932552e-01
  -7.0000000e-01   1.0000000e-01   2.5193793e-01
  -7.0000000e-01   2.0000000e-01   2.4358444e-01
  -7.0000000e-01   3.0000000e-01   2.0389837e-01
  -7.0000000e-01   4.0000000e-01   1.8823518e-01
  -7.0000000e-01   5.0000000e-01   1.1167646e-01
  -7.0000000e-01   6.0000000e-01   5.9641398e-02
  -7.0000000e-01   7.0000000e-01  -1.6153613e-02
  -7.0000000e-01   8.0000000e-01  -9.4406549e-02
  -7.0000000e-01   9.0000000e-01  -1.4236596e-01
  -7.0000000e-01   1.0000000e+00  -2.3944141e-01
  -6.0000000e-01  -1.0000000e+00  -2.9725564e-01
  -6.0000000e-01  -9.0000000e-01  -2.0478584e-01
  -6.0000000e-01  -8.0000000e-01  -1.5805424e-01
  -6.0000000e-01  -7.0000000e-01  -5.5690633e-02
  -6.0000000e-01  -6.0000000e-01  -1.8650628e-02
  -6.0000000e-01  -5.0000000e-01   3.0204510e-02
  -6.0000000e-01  -4.0000000e-01   7.5025139e-02
  -6.0000000e-01  -3.0000000e-01   1.1964760e-01
  -6.0000000e-01  -2.0000000e-01   1.6433901e-01
  -6.0000000e-01  -1.0000000e-01   1.6874796e-01
  -6.0000000e-01   0.0000000e+00   1.5633930e-01
  -6.0000000e-01   1.0000000e-01   1.7323826e-01
  -6.0000000e-01   2.0000000e-01   1.7426715e-01
  -6.0000000e-01   3.0000000e-01   1.3211174e-01
  -6.0000000e-01   4.0000000e-01   8.9395194e-02
  -6.0000000e-01   5.0000000e-01   7.2667648e-02
  -6.0000000e-01   6.0000000e-01   1.2985985e-03
  -6.0000000e-01   7.0000000e-01  -5.3579164e-02
  -6.0000000e-01   8.0000000e-01  -1.5168429e-01
  -6.0000000e-01   9.0000000e-01  -2.1082580e-01
  -6.0000000e-01   1.0000000e+00  -3.2159779e-01
  -5.0000000e-01  -1.0000000e+00  -3.9015013e-01
  -5.0000000e-01  -9.0000000e-01  -2.8264115e-01
  -5.0000000e-01  -8.0000000e-01  -1.8357801e-01
  -5.0000000e-01  -7.0000000e-01  -9.6695350e-02
  -5.0000000e-01  -6.0000000e-01  -4.2157961e-02
  -5.0000000e-01  -5.0000000e-01  -1.6971558e-03
  -5.0000000e-01  -4.0000000e-01   6.3448322e-02
  -5.0000000e-01  -3.0000000e-01   6.1701963e-02
  -5.0000000e-01  -2.0000000e-01   1.2230263e-01
  -5.0000000e-01  -1.0000000e-01   9.5904383e-02
  -5.0000000e-01   0.0000000e+00   1.4704274e-01
  -5.0000000e-01   1.0000000e-01   1.2850411e-01
  -5.0000000e-01   2.0000000e-01   1.1999858e-01
  -5.0000000e-01   3.0000000e-01   6.2160839e-02
  -5.0000000e-01   4.0000000e-01   5.0523016e-02
  -5.0000000e-01   5.0000000e-01   2.0414128e-02
  -5.0000000e-01   6.0000000e-01  -4.1279264e-02
  -5.0000000e-01   7.0000000e-01  -1.2669677e-01
  -5.0000000e-01   8.0000000e-01  -1.7278560e-01
  -5.0000000e-01   9.0000000e-01  -2.6075892e-01
  -5.0000000e-01   1.0000000e+00  -3.7774145e-01
  -4.0000000e-01  -1.0000000e+00  -4.3684858e-01
  -4.0000000e-01  -9.0000000e-01  -3.2875914e-01
  -4.0000000e-01  -8.0000000e-01  -2.4100731e-01
  -4.0000000e-01  -7.0000000e-01  -1.8844358e-01
  -4.0000000e-01  -6.0000000e-01  -9.4578489e-02
  -4.0000000e-01  -5.0000000e-01  -3.0386942e-02
  -4.0000000e-01  -4.0000000e-01  -1.5875161e-02
  -4.0000000e-01  -3.0000000e-01   3.6256065e-02
  -4.0000000e-01  -2.0000000e-01   7.9937943e-02
  -4.0000000e-01  -1.0000000e-01   6.5439495e-02
  -4.0000000e-01   0.0000000e+00   1.0213130e-01
  -4.0000000e-01   1.0000000e-01   6.9401232e-02
  -4.0000000e-01   2.0000000e-01   8.1525613e-02
  -4.0000000e-01   3.0000000e-01   5.5569209e-02
  -4.0000000e-01   4.0000000e-01  -8.1140825e-03
  -4.0000000e-01   5.0000000e-01  -4.3359384e-02
  -4.0000000e-01   6.0000000e-01  -8.9896136e-02
  -4.0000000e-01   7.0000000e-01  -1.4144947e-01
  -4.0000000e-01   8.0000000e-01  -2.2659574e-01
  -4.0000000e-01   9.0000000e-01  -3.1240294e-01
  -4.0000000e-01   1.0000000e+00  -4.4045680e-01
  -3.0000000e-01  -1.0000000e+00  -4.3730166e-01
  -3.0000000e-01  -9.0000000e-01  -3.7626778e-01
  -3.0000000e-01  -8.0000000e-01  -2.9901148e-01
  -3.0000000e-01  -7.0000000e-01  -2.0404732e-01
  -3.0000000e-01  -6.0000000e-01  -1.4518151e-01
  -3.0000000e-01  -5.0000000e-01  -8.6088377e-02
  -3.0000000e-01  -4.0000000e-01  -3.9064178e-02
  -3.0000000e-01  -3.0000000e-01  -1.8077592e-02
  -3.0000000e-01  -2.0000000e-01   1.9042334e-02
  -3.0000000e-01  -1.0000000e-01   2.9989002e-02
  -3.0000000e-01   0.0000000e+00   2.1050606e-02
  -3.0000000e-01   1.0000000e-01   2.6940131e-02
  -3.0000000e-01   2.0000000e-01   1.8554686e-03
  -3.0000000e-01   3.0000000e-01  -1.3947048e-02
  -3.0000000e-01   4.0000000e-01  -3.3728273e-02
  -3.0000000e-01   5.0000000e-01  -8.0273739e-02
